Date,Open,High,Low,Close,Volume,Adj Close
2005-06-02,111.50,112.35,109.65,110.12,956700,54.10
2005-06-01,112.45,112.50,110.62,111.25,1488300,54.65
2005-05-31,110.05,112.40,110.00,111.97,1961500,55.01
2005-05-30,112.50,112.95,109.57,110.38,714000,54.22
2005-05-26,108.00,116.00,102.62,113.90,3396800,55.95
2005-05-25,110.12,110.95,108.82,110.50,836400,54.28
2005-05-24,109.50,110.97,108.75,109.97,1331100,54.02
2005-05-23,108.00,110.00,107.50,109.65,923200,53.86
2005-05-20,107.50,109.50,106.70,107.35,787500,52.73
2005-05-19,107.50,109.30,107.25,108.55,1261800,53.32
2005-05-17,111.00,112.00,108.50,109.75,1563600,53.91
2005-05-16,107.50,111.95,107.50,111.25,1563300,54.65
2005-05-13,109.90,109.90,107.50,108.30,1259400,53.20
2005-05-12,110.00,110.50,108.75,109.70,1057900,53.89
2005-05-11,109.50,110.20,107.50,109.97,2018300,54.02
2005-05-10,111.00,112.25,109.80,110.68,2433300,54.37
2005-05-09,109.00,111.97,107.78,111.43,2571200,54.74
2005-05-06,109.00,110.00,106.50,109.28,1249700,53.68
2005-05-05,108.55,109.47,108.10,108.90,1006600,53.50
2005-05-04,105.50,108.55,105.50,108.10,2243300,53.10
2005-05-03,103.85,105.95,103.55,105.47,1478200,51.81
2005-05-02,103.50,104.95,103.00,103.45,1472200,50.82
2005-04-29,103.75,105.00,102.18,103.20,3055100,50.70
2005-04-28,100.97,104.20,99.60,103.72,8936900,50.95
2005-04-27,103.00,103.00,100.25,101.18,1601500,49.70
2005-04-26,104.68,104.68,102.50,102.80,751600,50.50
2005-04-25,104.32,104.95,102.57,103.95,1382500,51.06
2005-04-22,103.18,104.35,102.55,103.62,1721600,50.90
2005-04-21,104.20,104.65,102.10,102.75,915700,50.47
2005-04-20,103.80,104.90,101.50,102.72,1288500,50.46
2005-04-19,104.00,106.25,103.00,103.68,3621400,50.93
2005-04-18,103.00,104.50,96.25,101.97,6186500,50.09
2005-04-15,103.30,103.30,100.00,102.07,1591300,50.14
2005-04-13,104.53,106.18,102.75,103.45,841500,50.82
2005-04-12,104.95,104.95,103.53,104.22,753700,51.20
2005-04-08,105.35,106.72,105.03,106.40,892200,52.27
2005-04-07,106.15,106.88,104.50,104.90,885100,51.53
2005-04-06,109.45,109.45,105.07,105.95,879500,52.05
2005-04-05,112.50,112.50,105.00,108.47,1702000,53.29
2005-04-04,106.80,109.28,106.00,107.85,1865600,52.98
2005-04-01,104.93,109.28,102.60,108.28,2695400,53.19
2005-03-31,101.50,105.45,101.50,103.70,1108600,50.94
2005-03-30,104.00,104.00,99.62,100.82,2322900,49.53
2005-03-29,105.75,105.75,102.05,102.93,1395000,50.56
2005-03-28,106.25,107.28,104.38,105.00,1838200,51.58
2005-03-24,107.00,107.50,105.00,106.05,3191800,52.10
2005-03-23,105.50,108.25,105.25,107.10,4187000,52.61
2005-03-22,106.97,106.97,104.25,105.65,1993100,51.90
2005-03-21,114.65,114.65,104.70,105.97,1877500,52.06
2005-03-18,99.07,104.45,99.07,103.60,3876100,50.89
2005-03-16,108.00,108.00,104.50,104.85,2844600,51.51
2005-03-15,112.40,112.40,107.00,107.70,3488700,52.91
2005-03-14,112.00,117.00,107.30,110.78,7638600,54.42
2005-03-11,115.00,115.00,110.50,111.88,4211900,54.96
2005-03-09,115.50,116.50,113.50,115.07,2873300,56.53
2005-03-08,116.50,116.75,114.05,114.97,4614400,56.48
2005-03-07,119.25,119.95,114.00,115.18,5760600,56.58
2005-03-04,117.95,119.95,116.55,117.93,5703700,57.93
2005-03-03,118.95,118.95,115.00,117.57,5855200,57.76
2005-03-02,113.25,120.25,113.25,117.88,21232500,57.90
2005-03-01,125.00,125.00,108.78,112.30,4286200,55.17
2005-02-28,110.50,113.00,105.62,112.60,7709000,55.31
2005-02-25,107.50,110.38,107.30,109.78,8075000,53.93
2005-02-24,108.45,108.45,105.28,106.75,7169600,52.44
2005-02-23,107.93,109.00,106.50,107.45,3530200,52.78
2005-02-22,107.20,108.45,107.00,107.47,1971100,52.80
2005-02-21,110.00,110.00,107.00,107.38,4191900,52.75
2005-02-18,106.50,110.25,104.38,109.10,12960200,53.59
2005-02-17,108.00,108.00,104.28,105.20,4645800,51.68
2005-02-16,109.60,110.00,106.55,107.38,4620500,52.75
2005-02-15,107.30,110.00,106.53,109.30,9641300,53.69
2005-02-14,105.22,109.10,105.22,107.47,7254800,52.80
2005-02-11,103.05,104.75,103.05,104.40,3618600,51.29
2005-02-10,106.43,106.68,101.32,102.75,7215600,50.47
2005-02-09,108.05,108.25,104.12,104.65,7573400,51.41
2005-02-08,110.30,110.30,107.38,107.53,5036400,52.82
2005-02-07,110.00,112.50,109.50,110.40,6900000,54.23
2005-02-04,110.75,111.75,107.55,109.20,7818700,53.64
2005-02-03,113.95,113.95,109.43,109.93,8130100,54.00
2005-02-02,114.00,114.00,108.55,109.50,30109400,53.79
2005-02-01,116.00,116.00,109.60,111.30,7309400,54.67
2005-01-31,110.65,118.12,110.50,115.25,12773400,56.62
2005-01-28,105.10,110.75,105.00,109.72,8597900,53.90
2005-01-27,103.50,105.62,99.00,104.80,14207400,51.48
2005-01-25,99.28,102.50,98.62,101.75,2585500,49.98
2005-01-20,105.75,106.00,98.18,100.68,4303300,49.46
2005-01-19,107.25,107.25,105.00,105.97,1663200,52.06
2005-01-18,106.40,107.70,105.55,107.43,7507900,52.77
2005-01-17,106.50,107.20,104.60,105.43,5960300,51.79
2005-01-14,104.00,110.25,101.90,104.82,15699200,51.49
2005-01-13,99.40,107.45,97.15,103.80,8409800,50.99
2005-01-12,100.28,101.47,97.00,97.97,3053300,48.13
2005-01-11,101.90,102.50,98.47,99.50,3945900,48.88
2005-01-10,105.00,105.00,100.10,101.78,6445800,50.00
2005-01-07,107.00,107.00,99.75,105.07,10188500,51.62
2005-01-06,107.50,108.95,104.85,105.60,10922100,51.87
2005-01-05,113.45,114.50,102.03,105.18,9973500,51.67
2005-01-04,115.00,116.25,110.00,113.05,5348100,55.53
2005-01-03,109.25,115.12,108.75,114.15,4170300,56.07
2004-12-31,122.50,122.50,106.25,108.18,2415000,53.14
2004-12-30,107.75,122.50,104.45,106.47,5568500,52.30
2004-12-29,106.20,107.50,103.88,106.62,2553400,52.38
2004-12-27,103.75,105.55,102.38,104.88,2086000,51.52
2004-12-24,105.00,106.85,102.50,104.43,3179000,51.30
2004-12-23,102.50,104.93,102.03,104.45,4235100,51.31
2004-12-22,100.43,103.70,100.00,101.68,5333900,49.95
2004-12-21,98.03,100.20,98.03,99.53,2938800,48.89
2004-12-20,99.70,100.50,97.12,97.78,5094900,48.03
2004-12-17,106.85,106.85,98.03,99.28,9394900,48.77
2004-12-16,107.05,110.00,101.03,106.70,19150100,52.42
2004-12-15,100.50,107.00,100.10,106.07,15134600,52.11
2004-12-14,96.72,100.95,96.57,99.90,10099100,49.07
2004-12-10,96.50,96.50,93.00,94.10,4136100,46.23
2004-12-09,94.00,98.95,94.00,96.35,9361500,47.33
2004-12-08,90.75,96.00,90.75,94.18,15519000,46.26
2004-12-07,89.45,90.10,87.85,89.05,1751700,43.74
2004-12-06,91.95,92.00,88.60,89.43,1740800,43.93
2004-12-03,93.50,93.95,92.00,93.00,6107700,45.69
2004-12-02,92.00,95.00,91.20,93.28,10823000,45.82
2004-12-01,87.00,93.50,86.78,91.70,19412200,45.05
2004-11-30,84.88,87.25,84.57,86.85,8827500,42.66
2004-11-29,83.90,84.88,83.03,84.30,5053900,41.41
2004-11-25,82.75,84.25,81.22,83.80,7115400,41.17
2004-11-24,82.00,83.43,81.25,82.40,4817900,40.48
2004-11-23,82.00,83.97,81.53,82.03,5524100,40.29
2004-11-22,80.28,81.40,79.32,80.62,2605200,39.61
2004-11-18,81.15,81.75,80.18,80.65,3149300,39.62
2004-11-17,82.40,82.40,80.00,80.65,3657500,39.62
2004-11-16,82.47,82.50,80.00,81.38,4446200,39.97
2004-11-12,82.85,83.20,82.15,82.38,874800,40.47
2004-11-11,81.90,85.25,81.62,82.25,10924700,40.40
2004-11-10,79.75,81.80,79.15,81.50,4347800,40.04
2004-11-09,80.00,80.12,78.00,79.85,1777800,39.23
2004-11-08,77.80,79.82,77.80,79.40,2677000,39.00
2004-11-05,80.00,80.00,77.50,77.95,2749900,38.29
2004-11-04,80.50,80.50,78.62,79.82,3071000,39.21
2004-11-03,79.50,80.22,78.78,79.90,4330800,39.25
2004-11-02,79.50,79.70,78.50,79.47,4343800,39.04
